cx,cy,cyaw,ck
671821.841700462,3530006.840964877,-1.5071961501815638,0.018548196276373562
671821.9059012716,3530005.832882417,-1.5165548273650138,-0.0092647375123239
671821.9606434708,3530004.8246414433,-1.4984551984484944,0.017924309102965084
671822.0344887002,3530003.8056309633,-1.497845657282881,0.0005966051361240327
671822.1081481396,3530002.7977070264,-1.4984551847598258,-0.0006031271254313216
671822.1819933829,3530001.7786965487,-1.4877789533468608,0.010449456504145804
671822.2649256531,3530000.7820176687,-1.478347107554151,0.00943054346675039
671822.3573165498,3529999.7854973087,-1.4783470971727475,1.0373165792150155e-08
671822.4497074569,3529998.7889769482,-1.4978456210352789,-0.01948181708453939
671822.5233669325,3529997.781053017,-1.478347077486135,0.019292577540802384
671822.6157578591,3529996.78453266,-1.4877789101183032,-0.009424208677924659
671822.6986901722,3529995.7878537867,-1.4885049359186884,-0.0007259362540323003
671822.781808296,3529994.7800883767,-1.4791757044606042,0.00922588345788705
671822.8743850518,3529993.772481485,-1.4885049200872331,-0.00921981779705531
671822.9575031914,3529992.7647160776,-1.4791756842004478,0.009225887850932226
671823.0500799676,3529991.757109188,-1.4877788643379164,-0.008502314521602102
671823.133012326,3529990.7604303225,-1.4877788531246898,1.1211844647988453e-08
671823.2159446955,3529989.763751458,-1.479175654480008,0.008602032223034795
671823.3085215014,3529988.756144574,-1.487778837387633,-0.008502317283147886
671823.3914538865,3529987.7594657117,-1.4791756342198514,0.008602036754240582
671823.4840307127,3529986.75185883,-1.4877788163921366,-0.008502316560266983
671823.5669631186,3529985.755179972,-1.4791756163656504,0.008602033634591607
671823.6595399628,3529984.7475730926,-1.497845505264944,-0.018450154722245652
671823.7331995544,3529983.73964918,-1.4791755950322645,0.018472794763381085
671823.82577642,3529982.7320423033,-1.4877787825981943,-0.008502321903153918
671823.9087088592,3529981.7353634513,-1.4877787716554034,1.0941442379537298e-08
671823.9916413096,3529980.7386845984,-1.4877787652369627,6.417649624405924e-09
671824.0745737662,3529979.7420057473,-1.4885047922468253,-0.0007259374708887248
671824.157692034,3529978.7342403587,-1.478346888021359,0.010045349355366565
671824.2500831486,3529977.737720028,-1.4885047761870722,-0.01014965335207542
671824.3332014324,3529976.7299546436,-1.4877787268802345,0.0007180165890587239
