cx,cy,cyaw,ck
671835.701637036,3529932.9389224667,1.2319623750333941,0.1974836637382225
671836.0358143495,3529933.8871437185,1.358940446337957,0.12595889858218395
671836.2464713454,3529934.866563744,1.4463070204733102,0.08709710206668544
671836.371628576,3529935.866730105,1.51186252812269,0.06499079427177275
671836.4305750406,3529936.8657867764,1.5597412723849882,0.04782247577352972
671836.441856488,3529937.886223887,1.58755479013022,0.027251294738396364
671836.4249477105,3529938.89509888,1.5875547945215889,4.352127153784787e-09
671836.4080389285,3529939.9039738723,1.5969299919025992,0.009291283528996736
671836.3816714672,3529940.9126903387,1.5968280934849808,-0.00010098340427283734
671836.3551181951,3529941.9324933444,1.606099791728294,0.00908844559032498
671836.3191062497,3529942.9521378237,1.606303535870886,0.00019969429719754385
671836.2832801146,3529943.9606957664,1.6063035387863174,2.8888711590044604e-09
671836.2474539765,3529944.9692537114,1.6063035387863174,2.8888711590044604e-09
