Longitude,Latitude,Heading,Speed
113.8024598,34.7176843,-178.69804200000002,0.0
113.8024596,34.7176751,-178.62114000000003,4.5007326365244
113.8024594,34.7176659,-178.533252,5.6773790425612995
113.8024591,34.7176567,-178.29156,6.722213273634435
113.8024588,34.7176476,-177.99493800000002,6.9114210931586415
113.8024583,34.7176386,-177.588456,7.00082121553919
113.8024578,34.7176295,-177.072114,7.004207783586842
113.8024571,34.7176205,-176.55577200000002,6.965323643092247
113.8024564,34.7176114,-175.92957,7.064458592852446
113.8024556,34.7176024,-175.314354,7.082896428037279
113.8024547,34.7175934,-174.710124,7.1012157781927225
113.8024536,34.7175844,-174.25969800000001,7.039810267164895
113.8024526,34.7175754,-174.00702,7.017947082237487
113.8024514,34.7175664,-173.82025800000002,6.936223624243204
113.8024503,34.7175573,-173.73237,6.813694390933708
113.802449,34.7175483,-173.66645400000002,6.828245822677381
113.8024478,34.7175392,-173.57856600000002,6.818556869527381
113.8024466,34.7175301,-173.534622,6.840433395356085
113.8024454,34.717521,-173.534622,6.883070360312422
113.8024442,34.7175119,-173.534622,7.083013978868776
113.802443,34.7175029,-173.46870600000003,7.3500585337842885
113.8024417,34.7174939,-173.45772000000002,7.718133464318259
113.8024405,34.7174848,-173.43574800000002,8.025784076168211
113.8024392,34.7174757,-173.43574800000002,8.223482575271197
113.802438,34.7174666,-173.43574800000002,8.221396922179538
113.8024368,34.7174576,-173.51265,8.307134971235323
113.8024356,34.7174486,-173.57856600000002,8.47579309612476
113.8024344,34.7174394,-173.765328,8.563121197256256
113.8024332,34.7174304,-173.985048,8.699235272002381
113.8024321,34.7174214,-174.18279600000002,8.852252786257468
113.802431,34.7174123,-174.325614,8.984632200290001
113.8024299,34.7174033,-174.479418,9.02404019220304
113.8024289,34.7173942,-174.63322200000002,9.13122401000151
113.8024278,34.7173851,-174.77604000000002,9.172607291252064
113.8024269,34.7173761,-174.918858,9.216835787295896
113.802426,34.717367,-175.072662,9.112050564255021
113.8024251,34.7173579,-175.336326,9.043434730650663
113.8024242,34.7173488,-175.61097600000002,9.020586052093607
113.8024234,34.7173398,-175.83069600000002,9.118368138445671
113.8024227,34.7173308,-176.127318,9.221939858138324
113.802422,34.7173218,-176.379996,9.23200292712655
113.8024214,34.7173128,-176.621688,9.307648620870303
113.8024208,34.7173038,-176.852394,9.401828108316005
113.8024201,34.7172948,-177.094086,9.459968553215067
113.8024196,34.7172858,-177.335778,9.48813869431054
113.8024191,34.7172768,-177.54451200000003,9.476056077579832
113.8024186,34.7172677,-177.76423200000002,9.495944396669769
113.8024182,34.7172585,-178.00592400000002,9.494271545350152
113.8024178,34.7172494,-178.24761600000002,9.437791184128905
113.8024175,34.7172402,-178.46733600000002,9.415183203845832
113.8024172,34.717231,-178.654098,9.457878335922342
113.8024169,34.7172218,-178.78593,9.413419071527116
113.8024167,34.7172126,-178.917762,9.43486303790038
113.8024165,34.7172033,-179.027622,9.456648547569785
113.8024163,34.7171941,-179.09353800000002,9.466957374214191
113.8024162,34.717185,-179.148468,9.46749128010176
113.802416,34.7171758,-179.236356,9.533032689081395
113.8024159,34.7171667,-179.32424400000002,9.576806090674244
113.8024157,34.7171576,-179.44509000000002,9.555026227197482
113.8024156,34.7171485,-179.631852,9.598961864720344
113.8024156,34.7171392,-179.79664200000002,9.609173900509303
113.8024156,34.71713,-179.93946000000003,9.641698952451879
113.8024156,34.7171208,179.895984,9.664444309647276
113.8024156,34.7171116,179.78612399999997,9.718655977482427
113.8024156,34.7171023,179.79710999999998,9.718551706057342
113.8024156,34.7170931,179.884998,9.70763568166083
113.8024157,34.7170838,-179.91748800000002,9.762511527272682
113.8024156,34.7170746,-179.77467000000001,9.751682918089799
113.8024156,34.7170653,-179.68678200000002,9.718746988283069
113.8024155,34.717056,-179.60988,9.751780437435938
113.8024154,34.7170469,-179.55495000000002,9.784825715070678
113.8024153,34.7170376,-179.50002,9.773940279616305
113.8024152,34.7170284,-179.467062,9.751969075504448
113.802415,34.7170192,-179.379174,9.863503813680687
113.8024149,34.7170101,-179.32424400000002,9.773603877991247
113.8024148,34.7170008,-179.258328,9.774466364824832
113.8024147,34.7169916,-179.258328,9.687086663150748
113.8024145,34.7169824,-179.236356,9.664794222544058
113.8024144,34.7169731,-179.32424400000002,9.708908926391121
113.8024142,34.7169639,-179.467062,9.62050535425622
113.8024142,34.7169547,-179.730726,9.630837789440942
113.8024142,34.7169456,179.884998,9.586718290618608
113.8024143,34.7169365,179.13794999999993,9.543593262204032
113.8024146,34.7169274,177.951462,9.471740330380383
113.8024151,34.7169183,176.13877200000002,9.255385417573796
113.802416,34.7169093,174.106362,9.095758794967045
113.8024173,34.7169002,172.11789599999997,9.001633807017946
113.802419,34.7168913,170.55788399999994,8.714679565984321
113.8024209,34.7168823,169.59111599999994,8.64291438101466
113.8024229,34.7168733,169.25054999999998,8.62845445731608
113.802425,34.7168644,169.27252199999998,8.595974680384717
113.802427,34.7168555,169.73393399999998,8.623251041156777
113.8024289,34.7168465,170.360136,8.6696566370633
113.8024307,34.7168375,171.22803,8.644796292390485
113.8024323,34.7168284,172.238742,8.730039353032513
113.8024337,34.7168193,173.2933979999999,8.759069158050798
113.8024349,34.7168103,174.28213799999992,8.808294882378238
113.8024359,34.7168012,175.22693399999991,8.889851346528912
113.8024368,34.7167922,175.91905199999997,9.025767775481532
113.8024375,34.7167831,176.523282,9.151734952270086
113.8024381,34.7167741,176.90779199999997,9.291473902203958
113.8024387,34.716765,177.28131599999995,9.366588021206574
113.8024392,34.7167559,177.65483999999992,9.46243604601271
113.8024397,34.7167466,178.03935,9.494508413609406
113.80244,34.7167373,178.30301399999996,9.77777864112838
113.8024403,34.7167282,178.33597199999997,9.908935190304499
113.8024407,34.716719,178.32498599999997,10.029244031503532
113.802441,34.7167098,178.33597199999997,10.129220649653552
113.8024413,34.7167006,178.31399999999996,10.20643998747338
113.8024417,34.7166914,178.28104199999996,10.31569409669195
113.802442,34.7166823,178.24808399999995,10.393059080824441
113.8024424,34.7166731,178.23709799999995,10.470621569437629
113.8024427,34.7166638,178.21512599999994,10.613455988525303
113.8024431,34.7166545,178.21512599999994,10.668314067888677
113.8024434,34.7166454,178.20413999999994,10.778158706361559
113.8024438,34.7166363,178.28104199999996,10.877228589951153
113.8024441,34.7166271,178.522734,10.864722794756053
113.8024444,34.7166178,178.80836999999997,10.709215123083512
113.8024446,34.7166086,179.08301999999992,10.774556969756537
113.8024448,34.7165994,179.368656,10.839696912992776
113.8024449,34.7165901,179.79710999999998,10.861171989303644
113.8024448,34.7165809,-179.412132,10.740781304535252
113.8024447,34.7165718,-178.665084,10.633795713450475
113.8024443,34.7165626,-178.13775600000002,10.416876577145429
113.8024439,34.7165534,-177.676344,10.330879616750792
113.8024434,34.7165444,-177.06112800000002,10.202995651633556
113.8024428,34.7165352,-176.19323400000002,10.035405842419735
113.802442,34.7165261,-174.74308200000002,9.678334374177297
113.8024408,34.7165171,-172.655742,8.691936798912074
113.8024392,34.716508,-170.34868200000003,7.559184827409353
113.8024371,34.7164991,-167.66809800000001,6.475047929187361
