Easting,Northing,Heading,Speed
671848.2100024387,3529970.1658329694,-92.27118000000002,0.0
671847.2070142902,3529970.171200873,-86.74522200000001,3.3967847436575243
671846.203097034,3529970.232001571,-84.08661000000001,3.938251243162977
671845.1986223238,3529970.326061985,-82.06518600000004,4.772697894427894
671844.2030488247,3529970.4535406474,-79.56037800000001,4.269952483653382
671843.2160048981,3529970.636610636,-76.594158,5.164662768762938
671842.2373047426,3529970.8863584884,-73.39723200000003,6.448750254242084
671841.2764070232,3529971.202942733,-69.54114600000003,6.852354686494439
671840.3334975686,3529971.575276823,-65.38843800000001,6.925431389893648
671839.4365806959,3529972.02600943,-60.82924800000001,6.814102080714087
671838.5763835899,3529972.54389547,-55.391178000000025,6.472589368871449
671837.7621790841,3529973.1401800024,-50.06296800000001,6.484326926582906
671837.013070293,3529973.804093537,-44.756730000000005,6.3162990255019515
671836.3288713988,3529974.546722599,-38.83527600000002,6.3306426255108645
671835.7286854975,3529975.357297691,-32.935794000000044,6.403564270503296
671835.2032397485,3529976.224573734,-27.299976000000015,6.4486824933916145
671834.7621785927,3529977.1376227085,-22.510080000000016,6.5476162915977785
671834.396414996,3529978.0741129927,-18.41230200000001,6.697517847316742
671834.0868458514,3529979.0448140698,-15.720731999999998,6.772836760270624
671833.8245699431,3529980.0163077894,-13.787196000000051,6.944223816659596
671833.5810255382,3529980.9992051083,-11.875631999999996,7.324853135356649
671833.3753157135,3529981.9827365377,-10.01899800000001,7.490138254706647
671833.1976101995,3529982.9889166276,-8.865468000000021,7.517479068348718
671833.0293633477,3529983.9952552463,-8.239266000000043,7.453570858172564
671832.8802195925,3529984.9908243846,-7.448274000000026,7.398053657334349
671832.7403486848,3529985.997638589,-6.514464000000032,7.312331124631969
671832.6193950519,3529987.0047698445,-5.580654000000038,7.220908492270524
671832.5175445076,3529988.0011316184,-4.657830000000047,7.047154114628765
671832.4249667916,3529989.008738459,-4.053600000000017,6.897405786071236
671832.3418477132,3529990.0165038253,-3.658104000000037,6.774032872535667
671832.2681872721,3529991.024427721,-3.152748000000031,6.705510336335325
671832.2037996533,3529992.043596681,-2.614434000000017,6.71256298223991
671832.1490564712,3529993.0518376296,-2.0871060000000057,6.667261232391235
671832.0941274848,3529994.0711651184,-1.6037220000000048,6.85182854188344
671832.0581157464,3529995.0908096614,-1.2301980000000299,6.926995738718405
671832.012831193,3529996.099209139,-1.3180860000000507,7.09309649602566
671831.9770052664,3529997.107767145,-1.394988000000012,7.290535577694732
671831.9315349049,3529998.127253166,-1.5158340000000408,7.423498520534421
671831.8862503568,3529999.1356526483,-1.5927360000000022,7.587652687835262
671831.84096581,3530000.1440521316,-1.7135820000000308,7.862924370790101
671831.7954954522,3530001.163538156,-1.790484000000049,8.07180597029481
671831.7407522921,3530002.171779115,-1.823442,8.30309486612491
671831.7049263649,3530003.1803371287,-1.7794980000000464,8.511381012655562
671831.6596418231,3530004.188736617,-1.790484000000049,8.4448503366598
671831.6141714703,3530005.2082226453,-1.8124559999999974,8.588626151032544
671831.5592425091,3530006.2275501504,-1.8124559999999974,8.709453704787201
671831.5137721619,3530007.247036182,-1.7135820000000308,8.631928472925633
671831.4684876236,3530008.2554356754,-1.6366800000000126,8.531631955866633
671831.423017279,3530009.2749217087,-1.5597780000000512,8.477223257542992
671831.3871913541,3530010.283479731,-1.4609040000000277,8.246937856611405
671831.341906821,3530011.2918792274,-1.3840020000000095,7.5547261395127085
671831.2966222891,3530012.3002787265,-1.6696380000000204,6.861402275990525
671831.2416933406,3530013.319606239,-3.3065520000000106,6.285501624183006
