Easting,Northing,Heading,Speed
671834.0032840994,3529982.3370405473,-5.635584000000051,6.794720366196208
671833.8917889644,3529983.3443303206,-5.448822000000007,6.867796506347
671833.7710210173,3529984.340375028,-5.295018000000027,6.759763760230744
671833.6406086466,3529985.3473477513,-5.163186000000053,6.736946725769175
671833.5482166291,3529986.3438680433,-4.965438000000006,6.993390713332498
671833.4558246196,3529987.340388336,-4.789662000000021,6.969666005681655
671833.3537881813,3529988.3478366444,-4.668816000000049,6.8382153989835395
671833.2612103833,3529989.355443481,-4.602900000000034,6.870182509471892
671833.1688184087,3529990.3519637785,-4.5809280000000285,6.869334953608065
671833.0858850683,3529991.3486426054,-4.602900000000034,6.9689150531600275
671832.9933073033,3529992.3562494456,-4.888536000000045,7.005166543175208
671832.891456733,3529993.352611223,-5.196144000000004,6.955910971671045
671832.7799617415,3529994.359901013,-5.536710000000028,6.979408172709684
671832.6686525748,3529995.3561042654,-5.866290000000049,6.93658609429656
671832.547884801,3529996.3521489934,-6.184884000000011,6.965111609304633
671832.4271170457,3529997.3481937223,-6.525450000000035,7.036716524656563
671832.2967048745,3529998.3551664664,-6.855029999999999,6.7885979428438885
671832.1570199105,3529999.3508941475,-7.118694000000005,6.701154379744521
671832.0171491588,3530000.3577083694,-7.217568000000028,6.638454324024989
671831.8772784269,3530001.364522594,-7.217568000000028,6.668411038441866
671831.7374077151,3530002.371336821,-6.9868620000000305,6.597687659567941
671831.5977228327,3530003.3670645095,-6.613337999999999,6.663137630302354
671831.4769551979,3530004.363109253,-6.020094000000029,6.738691387161853
671831.3560017694,3530005.370240537,-5.185158000000001,6.946451627402359
671831.2539655811,3530006.3776888736,-4.119516000000033,6.5291211666690305
671831.161573828,3530007.3742091996,-3.0209159999999997,5.330709499395045
671831.0973721038,3530008.382291641,-1.8893580000000156,5.874614717714258
671831.0710048237,3530009.391008188,-0.7578000000000316,6.365196242332019
671831.0539103395,3530010.410969799,0.2748839999999859,6.266505512941046
671831.0462744584,3530011.431089938,0.9340439999999717,6.289084719563894
671831.0482829893,3530012.4402820654,0.9450299999999743,6.366479921096597
671831.031188489,3530013.460243683,0.11009399999994685,6.399105501190742
671831.0048211876,3530014.4689602344,-2.7352800000000457,6.261616509545117
671830.8933264518,3530015.476250058,-8.437014000000033,6.230167974964528
671830.6592415158,3530016.4593059705,-17.115954000000045,5.868448915619116
671830.2747480297,3530017.3843927877,-26.68476000000004,5.730590132903752
671829.730573245,3530018.2402654584,-36.42934200000002,5.70582659253426
671829.055836221,3530018.983053426,-46.02012000000002,4.886969564458585
671828.2601813768,3530019.6018286934,-56.072310000000016,2.899864134755825
671827.3723561186,3530020.0748937833,-65.75097600000004,3.7243037625710707
671826.420922026,3530020.3916377435,-75.40767,4.500747160423653
671825.4340690601,3530020.563622697,-84.82267200000001,5.400130123735816
671824.4219989859,3530020.5466610165,-94.47936600000003,5.589758420130668
671823.4219887464,3530020.3746464057,-104.14704600000002,5.5321185659253995
671822.4722442863,3530020.0260398583,-114.02346000000003,2.9885402014091897
671821.600769763,3530019.523489992,-124.66889400000002,2.3045581455985746
671820.8550439471,3530018.8567028306,-137.34673800000002,3.1965725686988637
671820.2729012214,3530018.026312415,-150.82656,4.097426572685231
671819.9103500156,3530017.077615962,-163.72412400000002,4.985854512741924
671819.7471725871,3530016.087902192,-175.292382,5.3640053439923125
671819.7924559931,3530015.0795026873,175.32580799999994,5.65407387568163
671819.9323254466,3530014.0726883393,169.08575999999994,6.0184431326728225
671820.1569507743,3530013.08947371,166.85560199999998,6.330395194115052
671820.3912205423,3530012.095331064,167.32799999999997,6.723671529869027
671820.5969287289,3530011.1117994124,168.23983799999996,7.348372947879638
671820.8122813543,3530010.117339743,169.4592839999999,7.607636664119988
671820.999258185,3530009.122404527,170.755632,7.903264587810692
671821.1767764372,3530008.1273108,171.99704999999994,7.902019085693544
671821.30700166,3530007.1314244904,173.11762199999998,7.739366650373681
671821.4750613477,3530006.136172252,173.80973999999992,7.527737561985251
671821.60528661,3530005.140285948,174.117348,7.275830376103239
671821.7356976892,3530004.133313106,174.35903999999994,6.818741325485916
671821.856650172,3530003.126181752,174.589746,6.528031054548872
671821.977602671,3530002.1190503975,174.84242399999994,6.638723879925016
671822.0889107704,3530001.122847068,175.106088,6.531378258826181
671822.1907602666,3530000.126485221,175.33679399999994,6.5423294921398885
671822.283336954,3529999.118878322,175.545528,6.652777843237401
671822.3662692357,3529998.122199446,175.82017799999994,6.7175805166182885
671822.4588459433,3529997.114592548,176.00694,7.0432568238633415
671822.5419640428,3529996.1068271375,176.1717299999999,7.27401832021817
671822.634540773,3529995.0992202424,176.32553399999995,7.515206789838022
671822.7082002657,3529994.0912963147,176.50131,7.800942456714231
671822.7911325917,3529993.0946174455,176.600184,7.996975718906647
671822.8742507235,3529992.0868520387,176.589198,8.216301048729855
671822.9480960405,3529991.0678415755,176.36947799999996,8.381463619254342
671823.031214189,3529990.060076172,176.094828,8.484929330783286
671823.1145181482,3529989.0412242296,175.82017799999994,8.543064824451548
671823.2070949451,3529988.0336173475,175.589472,8.149978921214002
671823.3091303796,3529987.026168981,175.35876599999995,7.834175561225242
671823.4015213989,3529986.0296486383,175.12806,7.396359993952059
671823.5130154911,3529985.0223587924,174.88636799999995,7.067147912068647
671823.6243237976,3529984.0261554895,174.666648,7.089987093233604
671823.7358179184,3529983.018865649,174.47988599999996,7.037708380794454
671823.8473120511,3529982.011575809,174.42495599999995,7.113913443291627
671823.9586204028,3529981.01537251,174.52382999999998,7.025476202986227
671824.0701145642,3529980.008082674,174.567774,6.894244834864523
671824.181422942,3529979.0118793785,174.567774,6.7483133954083625
671824.2927313341,3529978.0156760826,174.57876,6.63067728334527
671824.4040397403,3529977.019472791,174.63369,6.385192953540697
671824.5058895211,3529976.0231109825,174.69960600000002,6.253583788010507
671824.6173837528,3529975.0158211538,174.69960600000002,6.141210861348432
671824.7286922008,3529974.0196178677,174.7435499999999,6.040655090313024
671824.8305420206,3529973.0232560635,174.78749399999992,6.274606545418745
671824.9418504961,3529972.0270527788,174.82045199999993,6.381812472760073
671825.0531589835,3529971.0308494964,174.84242399999994,6.496547291635145
671825.1551946427,3529970.023401157,174.91932599999996,6.358982299926531
671825.2570445138,3529969.027039359,175.24890599999992,6.3445357016451895
671825.3588943974,3529968.0306775626,175.534542,6.268710109281245
671825.4512856451,3529967.0341572496,175.90806599999996,6.261152865863445
671825.5344040529,3529966.02639188,176.29257599999994,6.195385057364641
671825.6175224718,3529965.018626512,176.589198,6.203821162803208
671825.7004550986,3529964.0219476833,176.80891799999995,6.158991355695549
671825.7741148807,3529963.014023799,176.92976399999998,6.135969366786932
671825.8477746722,3529962.006099916,177.028638,6.177362065792508
671825.9119758145,3529960.9980175155,177.16046999999992,6.233436331348675
671825.9856356162,3529959.9900936354,177.27032999999994,6.2317609233193565
671826.0498367718,3529958.9820112367,177.39117599999997,6.253173528235189
671826.1045792736,3529957.9737703223,177.49005,6.264131768152224
671826.1687804358,3529956.9656879273,177.6218819999999,6.3085449518324275
671826.2142500897,3529955.946201956,177.73174199999994,6.262331989113785
671826.2784512601,3529954.938119563,177.80864399999996,6.240372940412771
671826.3331937753,3529953.9298786535,177.87455999999997,6.240437970320482
671826.3879362958,3529952.9216377432,177.91850399999998,6.239969102871668
671826.4426788173,3529951.9133968363,177.84160199999997,6.262329661519684
671826.488148482,3529950.893910871,177.79765799999996,6.305463305906957
671826.5523496727,3529949.885828485,177.6108959999999,6.263652386544913
671826.6070922035,3529948.877587581,177.43511999999998,6.241291895918376
671826.6712934055,3529947.8695051963,177.24835799999994,6.0786061995116825
671826.7451390775,3529946.850494794,177.072582,6.287632700769129
671826.8187989581,3529945.842570932,176.89680599999997,6.200994856788545
671826.8830001745,3529944.8344885525,176.73201599999993,6.102282824822915
671826.9566600655,3529943.8265646924,176.47933799999998,6.006257333043477
671827.0395928351,3529942.8298858907,176.083842,5.963775209877987
671827.1319842848,3529941.8333656103,175.71031799999992,5.879506209559965
671827.224561546,3529940.8257587925,175.40270999999996,5.727572189966262
671827.3169530143,3529939.829238516,175.051158,5.640896169598615
671827.428261844,3529938.833035277,174.08438999999998,5.83593496741465
671827.5681325139,3529937.8262210637,170.755632,5.926254836972079
