Longitude,Latitude,Heading,Speed
113.8025071,34.7177073,-179.873544,0.0
113.8025071,34.7176982,-179.89551600000001,3.7531196598565764
113.8025071,34.7176891,-179.81861400000003,5.291169651218221
113.802507,34.7176799,-179.77467000000001,6.411860000998116
113.802507,34.7176707,-179.708754,6.8079114145823665
113.8025069,34.7176615,-179.631852,7.115131773027585
113.8025068,34.7176523,-179.45607600000002,7.334843429862758
113.8025066,34.7176431,-179.247342,7.357349703440007
113.8025064,34.7176339,-179.027622,7.324526839992231
113.8025064,34.7176248,-178.85184600000002,7.214845390913607
113.8025061,34.7176157,-178.59916800000002,7.183727268807535
113.8025057,34.7176065,-178.29156,6.986445455361503
113.8025054,34.7175974,-177.929022,7.03069934188109
113.8025049,34.7175884,-177.50056800000002,7.144105200332869
113.8025044,34.7175793,-177.006198,7.288494215062369
113.8025038,34.7175702,-176.56675800000002,7.44750245995532
113.8025031,34.7175612,-176.33605200000002,7.59214403580445
113.8025023,34.7175522,-176.017458,7.7141288412556115
113.8025016,34.7175432,-175.786752,7.88162782951986
113.8025008,34.7175342,-175.57801800000001,7.993493896204896
113.8024999,34.7175252,-175.303368,8.117326207442975
113.802499,34.7175162,-175.05069,8.233451970604428
113.8024979,34.7175071,-174.77604000000002,8.211052240366348
113.802497,34.717498,-174.44646,8.323655348694116
113.8024959,34.7174889,-174.17181000000002,8.31351302499471
113.8024947,34.7174799,-173.864202,8.398241568395713
113.8024936,34.7174708,-173.58955200000003,8.434336223192522
113.8024923,34.7174617,-173.32588800000002,8.531044443056981
113.802491,34.7174527,-173.029266,8.629207396922748
113.8024896,34.7174437,-172.765602,8.656483848544488
113.8024882,34.7174346,-172.436022,8.746036442393432
113.8024867,34.7174255,-172.161372,8.764992757157357
113.8024851,34.7174165,-171.91968,8.817119500581878
113.8024836,34.7174075,-171.688974,8.795587811641951
113.802482,34.7173985,-171.53517000000002,8.860843007644107
113.8024803,34.7173896,-171.359394,8.788112663935614
113.8024786,34.7173806,-171.249534,8.814799920307042
113.8024769,34.7173717,-171.17263200000002,8.777167049289043
113.8024753,34.7173627,-171.128688,8.621809339174135
113.8024736,34.7173536,-171.20559,8.621807648558493
113.8024719,34.7173447,-171.5901,8.501727353723952
113.8024703,34.7173357,-172.26024600000002,8.430909023205682
113.8024689,34.7173266,-173.172084,8.386621681629551
113.8024676,34.7173175,-173.853216,8.308360585530254
113.8024665,34.7173084,-174.29265600000002,8.2755571493014
113.8024654,34.7172993,-174.699138,8.17976876881546
113.8024644,34.7172903,-175.039704,8.160460320820969
113.8024635,34.7172813,-175.413228,8.086315535016757
113.8024626,34.7172722,-175.753794,8.00961263687937
113.8024619,34.7172632,-176.028444,7.958273324545831
113.8024611,34.7172541,-176.401968,7.901227373872802
113.8024605,34.7172451,-176.86338,7.962445727321443
113.8024599,34.7172361,-177.225918,7.982047561400298
113.8024594,34.717227,-177.698316,8.12201183008565
113.802459,34.7172179,-178.148742,8.108478263130317
113.8024586,34.7172088,-178.522266,8.249366905123448
113.8024584,34.7171997,-178.884804,8.28180470792898
113.8024582,34.7171906,-179.11551,8.291733585752905
113.802458,34.7171814,-179.30227200000002,8.302014326341666
113.8024578,34.7171723,-179.45607600000002,8.345859266684943
113.8024578,34.7171631,-179.60988,8.323862275857975
113.8024577,34.7171539,-179.77467000000001,8.378258017749282
113.8024577,34.7171448,-179.88453,8.422277534657272
113.8024577,34.7171357,-179.983404,8.466199923297888
113.8024577,34.7171265,179.884998,8.510126445714262
113.8024577,34.7171173,179.76415199999997,8.554070670260378
113.8024578,34.717108,179.65429199999994,8.587022050530841
113.8024578,34.7170988,179.54443199999992,8.59810129258631
113.802458,34.7170896,179.4126,8.67524831917758
113.8024581,34.7170804,179.30273999999997,8.708314446386908
113.8024582,34.7170712,179.18189399999994,8.697589253861178
113.8024584,34.717062,179.09400599999992,8.741531638575394
113.8024586,34.7170529,179.0390759999999,8.8403983705145
113.8024588,34.7170438,179.01710400000002,8.88485916050286
113.8024589,34.7170346,178.97316,8.972537311417783
113.8024591,34.7170253,178.87428599999998,9.005966231712511
113.8024593,34.7170162,178.5556919999999,9.127783670070608
113.8024597,34.717007,178.25906999999995,9.162532004586605
113.80246,34.7169979,178.017378,9.206767102632925
113.8024604,34.7169887,177.81962999999996,9.242439306686201
113.8024608,34.7169796,177.75371399999995,9.28592357091556
113.8024613,34.7169705,177.56695200000001,9.286873917674415
113.8024618,34.7169614,177.18244199999992,9.279385920287865
113.8024623,34.7169523,176.72102999999993,9.262698247815047
113.802463,34.7169432,176.23764599999993,9.275206664566312
113.8024638,34.716934,175.88609399999996,9.314026903567242
113.8024646,34.7169249,175.6773599999999,9.358397991505173
113.8024655,34.7169159,175.52355599999999,9.39123695409274
113.8024664,34.7169069,175.32580799999994,9.487390674523656
113.8024673,34.7168979,175.161018,9.607967729740757
113.8024682,34.7168889,174.77650799999992,9.659125022684657
113.8024692,34.7168799,174.47988599999996,9.764842025449152
113.8024703,34.7168708,174.2381939999999,9.891615410567752
113.8024715,34.7168616,174.06241799999998,10.011817486587946
113.8024727,34.7168526,173.96354399999996,10.08198478810043
113.8024738,34.7168436,173.89762799999994,10.194894480208793
113.802475,34.7168346,173.84269799999993,10.362040584436546
113.8024762,34.7168256,173.86466999999993,10.382699031871192
113.8024774,34.7168166,173.90861399999994,10.503630697356153
113.8024786,34.7168074,173.94157199999995,10.567265017981105
113.8024798,34.7167982,173.98551599999996,10.600278527957634
113.8024809,34.7167892,174.05143199999998,10.71285216616635
