Longitude,Latitude,Heading,Speed
113.7675245,34.724203,-93.47964000000002,0.0
113.7675136,34.7242024,-93.49062600000002,4.04724963405736
113.7675027,34.7242017,-94.47936600000003,5.9021596494604935
113.7674918,34.7242009,-97.33572600000002,6.983086422567738
113.7674809,34.7241994,-102.47717399999999,7.3903332943403965
113.7674704,34.7241968,-110.38709400000002,7.095346560550922
113.7674605,34.7241929,-120.36238200000003,6.580323257914432
113.7674516,34.7241876,-131.54613,6.34405888083724
113.767444,34.724181,-141.69719400000002,6.313839028814626
113.7674377,34.7241735,-149.530212,6.432534343158691
113.7674327,34.7241654,-155.748288,6.629590741551726
113.7674286,34.724157,-160.812834,6.778136732638831
113.7674254,34.7241482,-164.66892,6.860774840211277
113.7674227,34.7241393,-167.843874,6.934307855037468
113.7674208,34.7241303,-172.10644200000002,6.984680532344731
113.7674196,34.7241212,-175.86365400000003,6.749927614708362
113.7674191,34.7241121,-178.12677000000002,6.7873466782635195
113.7674188,34.724103,-179.00565,6.785647008364358
113.7674187,34.7240938,-179.10452400000003,6.7748040461420365
113.7674185,34.7240846,-179.269314,6.752581156367338
113.7674184,34.7240754,-179.478048,6.75241597220449
113.7674183,34.7240662,-179.708754,6.785258438177029
113.7674183,34.724057,-179.8296,6.807405230099399
113.7674183,34.7240478,-179.8296,6.895254810687896
113.7674182,34.7240387,-179.8296,6.884214197024439
113.7674182,34.7240295,-179.840586,6.840670273709294
113.7674182,34.7240203,179.85204,6.9061210793154455
113.7674182,34.7240112,179.64330599999994,6.939079354394543
113.7674183,34.724002,179.434572,6.885002166680587
113.7674184,34.7239929,179.33569799999998,6.9283287379747
113.7674186,34.7239837,179.20386599999995,6.928550992988212
113.7674188,34.7239746,179.07203399999992,6.939688688688204
113.767419,34.7239655,178.940202,6.951164787503833
113.7674192,34.7239563,178.80836999999997,7.105389995824946
113.7674195,34.7239472,178.68752399999994,7.336745684945893
113.7674198,34.723938,178.54470600000002,7.699902104423967
113.7674201,34.7239288,178.412874,8.062774560577823
113.7674204,34.7239196,178.53372000000002,8.292553677615059
113.7674206,34.7239104,178.81935599999997,8.665999205132128
113.7674208,34.7239011,179.10499199999992,8.994582198311983
113.767421,34.7238919,179.33569799999998,9.335038743428004
113.7674212,34.7238828,179.55541799999992,9.73010394276728
113.7674212,34.7238737,179.68724999999995,10.268066352482128
113.7674213,34.7238645,179.863026,10.663915201049859
113.7674213,34.7238552,179.98387200000002,10.948996945340658
113.7674213,34.7238461,-179.90650200000002,11.201751791058618
113.7674212,34.723837,-179.840586,11.421513370786741
113.7674212,34.7238277,-179.77467000000001,11.6412609502783
113.7674212,34.7238185,-179.71974,11.860976725041592
113.7674211,34.7238092,-179.66481000000002,12.070057932492224
113.7674211,34.7238,-179.620866,12.267468583234185
113.767421,34.7237907,-179.55495000000002,12.48733352207731
113.7674209,34.7237815,-179.511006,12.685351450187913
113.7674208,34.7237722,-179.43410400000002,12.905871863751136
113.7674207,34.7237631,-179.401146,13.036912116170937
113.7674206,34.7237538,-179.33523000000002,13.245879878730944
113.7674205,34.7237445,-179.32424400000002,13.421951387770013
113.7674203,34.7237352,-179.32424400000002,13.685407717712598
113.7674202,34.7237259,-179.379174,13.86091339972796
113.7674201,34.7237168,-179.43410400000002,13.973276233713664
113.76742,34.7237077,-179.521992,14.069088988701974
113.7674199,34.7236985,-179.65382400000001,14.201033325076622
113.7674199,34.7236891,-179.840586,14.355110549630165
113.7674199,34.7236797,179.97288600000002,14.487543044338068
113.7674199,34.7236706,179.79710999999998,14.498052716828882
113.76742,34.7236612,179.68724999999995,14.49914480652244
113.76742,34.7236521,179.50048800000002,14.486956124276036
113.7674201,34.723643,179.401614,14.46834243888088
113.7674203,34.7236339,179.23682399999996,14.509834258612537
113.7674204,34.7236248,179.09400599999992,14.422530594684641
113.7674206,34.7236154,178.940202,14.379039460921687
113.7674209,34.7236061,178.79738399999997,14.270395259590279
113.7674211,34.7235968,178.63259399999993,14.04308443527082
113.7674214,34.7235877,178.500762,13.943184963335053
113.7674217,34.7235786,178.34695799999997,13.800066906423499
113.767422,34.7235693,178.21512599999994,13.650234567310253
113.7674224,34.7235602,178.0832939999999,13.418025156586877
113.7674228,34.7235509,177.98442,13.242296183488907
113.7674231,34.7235416,177.951462,13.132898667399663
113.7674235,34.7235324,178.006392,13.023718436220184
113.7674239,34.7235233,178.18216799999993,12.81545893019886
113.7674243,34.7235141,178.456818,12.657542846973088
113.7674248,34.7235049,178.73146799999995,12.532206071346405
113.7674252,34.7234958,179.06104799999991,12.387807074765266
113.767425,34.7234867,179.48950200000002,12.05906204727369
113.767425,34.7234774,-179.873544,11.87206192937168
113.7674249,34.7234683,-179.027622,11.719810027586357
113.7674246,34.7234592,-177.88507800000002,11.506080003803008
113.7674242,34.72345,-176.18224800000002,11.309957973887485
