Easting,Northing,Heading,Speed
671849.7428420715,3529970.723828962,-93.58950000000004,0.0
671848.7413405768,3529970.6405044002,-94.25964600000003,3.2784402261431027
671847.7400248968,3529970.5460933973,-94.44640800000002,4.368141529919285
671846.7292505584,3529970.451523956,-94.07288400000004,5.25992603753406
671845.7181045617,3529970.379127692,-93.05118600000003,5.948786315202465
671844.7067727349,3529970.317818069,-91.260468,6.072079479581255
671843.7041562649,3529970.3010132364,-89.19510000000002,5.21518539384867
671842.7009823387,3529970.317468118,-87.14071799999999,5.299075834547715
671841.6877923206,3529970.3670241823,-84.72379800000004,6.434816179216952
671840.6925905221,3529970.4723301064,-81.24123600000001,6.685775403116177
671839.6962738513,3529970.64415536,-76.33049400000004,6.9834874656712
671838.7359336487,3529970.9274802236,-69.49720200000002,6.650400829644054
671837.8113841242,3529971.333391222,-60.774317999999994,6.030929755836217
671836.9599024407,3529971.895782082,-51.41424600000005,5.8587887704064645
671836.2104219925,3529972.5818687533,-41.70262200000002,5.736140032842158
671835.591504525,3529973.3810402593,-31.705362000000036,5.701004148859105
671835.1317117593,3529974.2826856235,-22.191485999999998,6.06355035475214
671834.7939523462,3529975.24182456,-14.567202000000009,6.4676364950897325
671834.5693250513,3529976.225038912,-8.843496000000016,6.725235997442427
671834.43891256,3529977.232011621,-4.965438000000006,7.036218764994598
671834.3465204498,3529978.228531901,-3.7569780000000037,7.24792524179735
671834.2635869874,3529979.22521071,-4.547970000000021,7.200486308630537
671834.1615504503,3529980.232659005,-4.778676000000019,7.0034005984554
671834.0596997389,3529981.2290207637,-4.965438000000006,6.871982688324335
671833.9673076719,3529982.2255410496,-5.163186000000053,6.786269691480151
671833.8559983486,3529983.221744284,-5.437836000000004,6.799231881018855
671833.7446890394,3529984.217947519,-5.756430000000023,6.83607667964806
671833.6239211129,3529985.2139922283,-5.9981220000000235,6.82954953149753
671833.5029673942,3529986.22112348,-6.228828000000021,6.874458076125076
671833.3820136868,3529987.2282547317,-6.437562000000014,6.889890316604204
671833.2516013694,3529988.235227459,-6.602351999999996,6.90211585976162
671833.1211890698,3529989.2422001893,-6.756156000000033,6.9032433601508645
671832.9909625989,3529990.238086381,-6.909960000000012,6.975090773043788
671832.8510917095,3529991.2449005875,-7.041792000000044,7.054059345274395
671832.7019480251,3529992.240469733,-7.195596000000023,7.138602311954773
671832.5620771765,3529993.247283944,-7.294470000000047,7.179551342806121
671832.4129335346,3529994.2428530906,-7.283484000000044,7.337614507530557
671832.2732485365,3529995.2385807675,-7.118694000000005,7.368921509274787
671832.1335635583,3529996.2343084468,-6.909960000000012,7.49762876800924
671832.0031514104,3529997.241281192,-6.723198000000025,7.624003650716807
671831.8729250901,3529998.237167402,-6.525450000000035,7.692655028681688
671831.742698788,3529999.2330536116,-6.338688000000047,7.661534210737724
671831.6217453117,3530000.24018489,-6.1079820000000495,7.495902768517688
671831.5009776611,3530001.2362296297,-5.910234000000003,7.29073687060385
671831.3896686424,3530002.2324328977,-5.679528000000005,7.051414159414348
671831.2687152135,3530003.2395641804,-5.437836000000004,6.888752760018652
671831.1668648382,3530004.2359259767,-5.174171999999999,6.789187976698049
671831.065014475,3530005.2322877734,-4.921494000000052,6.709688013286123
671830.9631641244,3530006.228649574,-4.5809280000000285,6.719056077651576
671830.8707723995,3530007.2251698994,-4.130502000000035,6.77759478872992
671830.7783806828,3530008.2216902277,-3.603174000000024,6.751322013026044
671830.7045345792,3530009.2407006864,-3.0868320000000153,6.838009650817913
671830.6403328977,3530010.2487831316,-2.3397840000000087,6.854216784857927
671830.5950484383,3530011.2571826284,-1.1752680000000169,6.839205183209816
671830.568681193,3530012.265899178,0.2968559999999911,6.915665442909109
671830.5705039528,3530013.286177843,1.747007999999994,6.773152628515797
671830.5819711207,3530014.2955284943,2.8346219999999676,6.448670676544703
671830.6123554835,3530015.305196201,2.955467999999996,6.493765605768375
671830.63328123,3530016.314705382,2.0765879999999584,6.555005718770167
671830.635289761,3530017.3238975145,-0.9116040000000112,6.387144792929119
671830.5521708762,3530018.331662919,-6.283758000000034,6.291144227991448
671830.3744659957,3530019.3378430693,-14.09480400000001,5.940280017026896
671830.0368940055,3530020.2858955977,-23.421918000000005,5.648369480104847
671829.5394549392,3530021.175820521,-34.858344000000045,5.267125031155624
671828.8647181065,3530021.9186084936,-48.29422200000005,5.243031455833978
671828.0226995398,3530022.481158455,-61.73009999999999,5.327950844436338
671827.0799810129,3530022.842407028,-75.176964,5.390637355880942
671826.0844128862,3530022.969887229,-88.79960400000004,5.392334692652408
671825.0740152874,3530022.853146621,-102.07069200000001,5.625628238324491
671824.133729707,3530022.504698427,-115.70431800000003,5.2848787601548475
671823.2817300791,3530021.969205824,-128.50300800000002,5.442078803533765
671822.5842265475,3530021.2477784217,-140.88423,5.637238864332356
671822.049748703,3530020.3960074023,-152.298684,5.905489359385891
671821.6775533612,3530019.4582388955,-161.307204,6.182405201971593
671821.4099599485,3530018.488954476,-168.77768400000002,6.37519812836271
671821.3037201032,3530017.4891052363,-174.127866,6.705747968144806
671821.2449590428,3530016.4789620438,-176.80845000000002,6.913640068425923
671821.2145737701,3530015.469294404,-177.64338600000002,7.099623772967217
671821.2127500975,3530014.449015778,-179.50002,7.159792681001262
671821.2296578276,3530013.440140724,178.54470600000002,6.842602883297864
671821.2845857764,3530012.420813201,177.84160199999997,6.6056985360012614
671821.3393279292,3530011.4125722176,177.75371399999995,6.514901765691503
671821.4035286952,3530010.4044897533,177.49005,6.892600283201633
671821.4677294663,3530009.3964072885,177.38018999999997,7.145136174114717
671821.5415746488,3530008.377396803,177.20441399999993,7.257688909758698
671821.6152340415,3530007.3694728585,177.039624,7.266920681030937
671821.6794348268,3530006.3613903974,176.90779199999997,7.20284232082391
671821.753280029,3530005.342379918,176.78694599999994,7.224273562620949
671821.8363980547,3530004.334614492,176.69905799999992,7.391315177334787
671821.9193302898,3530003.3379356083,176.62215600000002,7.523683128535022
671822.0024483305,3530002.330170188,176.55624,7.591579011980623
671822.085380583,3530001.3334913063,176.490324,7.7231509029511525
671822.1592258232,3530000.3144808323,176.45736599999998,7.743164473741437
671822.2328852734,3529999.3065568972,176.40243599999997,7.953398730359334
671822.3067305274,3529998.2875464256,176.36947799999996,8.151144186742226
671822.3898486113,3529997.279781013,176.32553399999995,8.330092575281991
671822.4727809022,3529996.283102138,176.27060399999993,8.560946051735616
671822.555713204,3529995.286423264,176.21567399999992,8.803569857976656
671822.6386455145,3529994.289744392,176.1717299999999,8.989930702692067
671822.7217636307,3529993.281978984,176.1168,9.145604021491808
671822.8046959586,3529992.2853001156,176.06187,9.104756028884262
671822.8878140923,3529991.2775347093,176.00694,8.87006611568603
671822.9803908636,3529990.2699278216,175.93003799999997,8.654768801550668
671823.0729676455,3529989.2623209353,175.86412199999995,8.52011013989887
671823.1653586358,3529988.2658005897,175.80919199999994,8.48957092009364
671823.2577496392,3529987.2692802455,175.75426199999993,8.466859537877493
671823.3503264528,3529986.261673363,175.71031799999992,8.433989883636672
671823.4429032769,3529985.254066482,175.66637400000002,8.446573758794596
671823.5354801092,3529984.2464596042,175.633416,8.523258284095343
671823.6282427544,3529983.2277661883,175.600458,8.511493408946304
671823.7300924419,3529982.2314043688,175.556514,8.57899472044224
671823.8224835094,3529981.234884034,175.51256999999998,8.625518499847491
671823.9150603873,3529980.22727716,175.46862599999997,8.668191722134493
671824.0169101126,3529979.230915345,175.42468199999996,8.867171563957756
671824.1093012101,3529978.2343950146,175.36975199999995,8.988416017376334
671824.2113367594,3529977.226946663,175.31482199999994,9.10252960576375
671824.3037278814,3529976.2304263352,175.28186399999993,9.254714911204221
671824.4055776543,3529975.2340645264,175.28186399999993,9.332736560218517
671824.5077990375,3529974.215529641,175.25989199999992,9.407193599842099
671824.6096488351,3529973.219167837,175.28186399999993,9.457428725535447
671824.7114986453,3529972.222806032,175.31482199999994,9.464025440415917
671824.8135342681,3529971.21535769,175.34777999999994,9.540326745383428
671824.9157557013,3529970.1968228114,175.40270999999996,9.618121099686997
671825.0085185033,3529969.1781294174,175.47961199999997,9.63976379291769
671825.1009097128,3529968.1816091,175.556514,9.713022535418864
671825.2029453836,3529967.174160766,175.633416,9.7694900628273
671825.2860637693,3529966.166395395,175.6993319999999,9.80925271055825
671825.3882852634,3529965.1478605247,175.76524799999993,9.780533007226813
671825.4806765162,3529964.151340214,175.91905199999997,9.577660369557632
671825.5636091301,3529963.154661386,176.1168,9.367764281089977
671825.6467275533,3529962.1468960224,176.30356199999994,9.188875518299911
671825.7296601823,3529961.150217196,176.46835199999998,9.120263829529042
671825.8033199685,3529960.1422933144,176.6441279999999,8.93053589527736
671825.8864384146,3529959.1345279533,176.77595999999994,8.744658813512576
671825.9508253599,3529958.115359018,176.99568,8.719817786601165
671826.0244851643,3529957.107435141,177.25934399999994,8.806565426480528
671826.0886863199,3529956.0993527467,177.512022,8.715545953250626
671826.1434288189,3529955.091111834,177.77568599999995,8.494682083398242
671826.198542925,3529954.060697848,178.06132200000002,8.283838907052369
671826.253471231,3529953.0413703993,178.34695799999997,8.030471711154213
671826.2987550775,3529952.032970972,178.58864999999992,7.831019629940488
671826.3345802624,3529951.0244130264,178.78639799999996,7.6221604579958795
671826.3798641129,3529950.0160136027,178.885272,7.379775174327899
671826.4156892953,3529949.0074556596,178.87428599999998,7.379852997675207
671826.4517002823,3529947.98781118,178.84132799999998,7.160296022744531
671826.4875254658,3529946.97925324,178.76442599999996,7.149797710741424
671826.5329951165,3529945.9597672815,178.69850999999994,7.182494838276844
671826.5688202997,3529944.9512093435,178.63259399999993,7.215445256613836
671826.6141041516,3529943.9428099273,178.5666779999999,7.204757250276358
671826.6593880071,3529942.9344105106,178.53372000000002,7.007638980015832
671826.6953989908,3529941.914766039,178.47879,6.7547182595518525
671826.7408686458,3529940.895280088,178.456818,6.622912581327132
671826.7861525042,3529939.8868806753,178.5776639999999,6.633618922734874
671826.8219776873,3529938.8783227447,178.70949599999994,6.545378540056385
671826.8578028699,3529937.869764816,178.5556919999999,6.391179979700227
671826.9125454036,3529936.8615239253,177.30328799999995,6.165973228104123
671826.995478173,3529935.864845132,174.69960600000002,6.052861123962726
671827.1448074959,3529934.858189434,170.34915,6.112118072657223
671827.37889335,3529933.8751334855,164.25191999999993,5.994277312109568
671827.7353846761,3529932.9273979096,155.869602,5.841890663941405
671828.2419143419,3529932.0598044274,144.69683999999995,5.476651797775451
671828.9259294111,3529931.3282613116,131.425752,5.3239318660570625
671829.7774138079,3529930.76586969,117.89099999999996,5.281562352556575
671830.7199548455,3529930.41570758,104.43314999999996,5.193690894005891
671831.724804823,3529930.2994725155,90.89839799999999,5.289367947979138
671832.735211581,3529930.416213373,77.34167399999995,5.399511716505067
671833.6753197856,3529930.775748497,63.81790799999999,5.444653441704581
671834.5080378846,3529931.333097615,50.34907199999998,5.47694219257159
671835.1862582441,3529932.0763815343,37.308689999999956,5.637828108603518
671835.701637036,3529932.9389224667,25.443809999999985,5.892245790187145
671836.0358143495,3529933.887143719,16.479233999999963,6.373746901479915
671836.2464713455,3529934.866563744,10.458905999999956,7.17459277826174
671836.371628576,3529935.866730105,6.031547999999987,7.63708711222642
671836.4305750406,3529936.8657867764,2.911523999999986,7.845426375317429
671836.441856488,3529937.886223887,0.9230579999999691,7.870946109850713
671836.4249477105,3529938.89509888,0.033191999999985455,7.815370919709974
671836.4080389285,3529939.9039738723,-0.1645560000000046,7.6945247512419135
671836.3816714673,3529940.9126903387,-0.31836000000004105,7.584760107381728
671836.3551181951,3529941.9324933444,-0.4831500000000233,7.420055400805647
671836.3191062498,3529942.952137824,-0.6589260000000081,7.245200024455928
671836.2832801146,3529943.960695766,-0.8347020000000498,6.904729833574524
671836.2474539765,3529944.969253711,-1.0104780000000346,6.322475749713902
