2025-03-28 16:01:12,681 - INFO - Created a socket
2025-03-28 16:01:12,682 - INFO - Created a socket
2025-03-28 16:01:12,773 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,775 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,778 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,782 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,784 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,787 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,787 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,788 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,788 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,789 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,789 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,790 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,798 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,808 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,818 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,828 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,838 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,848 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,858 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,868 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,878 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,888 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,898 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
2025-03-28 16:01:12,908 - INFO - ego_x:118.81709139999998,ego_y:31.89256499999999
