2025-03-28 16:28:43,370 - INFO - Created a socket
2025-03-28 16:28:43,371 - INFO - Created a socket
2025-03-28 16:28:43,394 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,396 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,400 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,409 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,419 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,429 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,439 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,449 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,459 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,469 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,480 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,494 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,499 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,509 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,519 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,529 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,539 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,549 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,559 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,569 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,579 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,589 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,599 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,609 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,619 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,629 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,639 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,649 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,659 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,669 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,679 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,690 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,704 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,709 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,719 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,729 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,739 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,749 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,759 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,769 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,779 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,789 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,799 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,809 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,819 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,829 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,839 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,849 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,859 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,869 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,879 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,890 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,904 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,909 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,919 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,929 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,939 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,949 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,959 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,971 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,979 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,990 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:43,999 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,009 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,019 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,029 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,039 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,049 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,059 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,069 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,079 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,089 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,099 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,109 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,119 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,129 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,139 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,149 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,159 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,169 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,179 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,189 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,199 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,209 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,219 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,229 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,239 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,249 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,259 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,269 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,280 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,294 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,299 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,309 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,319 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,329 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,339 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,349 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,359 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,369 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,379 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,389 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,399 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,409 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,419 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,429 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,439 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,449 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,459 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,469 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,480 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,494 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,499 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
2025-03-28 16:28:44,509 - INFO - ego_x:671848.9356981304,ego_y:3529970.898824151
